nodeID,nodetype,lat,lon
11636607982,restaurant,40.724602,-74.2405815
11636607985,bakery,40.7245591,-74.2408878
11636608088,restaurant,40.7248037,-74.2409599
11636608129,restaurant,40.724734,-74.2415093
11636608141,convenience,40.7247063,-74.2416735
11636608310,restaurant,40.7246497,-74.242066
11636608322,restaurant,40.7246435,-74.2421836
11636608352,restaurant,40.7245744,-74.242694
11638605172,convenience,40.7413764,-73.9198688
11638670322,restaurant,40.7136688,-73.9878507
11639925159,school,40.7945193,-73.9660636
11642525952,furniture,40.6119966,-73.9830892
11642525953,chemist,40.6120396,-73.9830454
11642525954,supermarket,40.6120906,-73.9829662
11643241885,school,40.7906113,-73.9698185
11645497589,hotel,40.6585891,-73.8942073
11648380218,bus,40.7103722,-73.9917886
11651290841,cafe,40.743706,-73.9207774
11653913239,cafe,40.7474218,-73.9446673
11653922817,cafe,40.7340242,-74.0039038
11654745957,cafe,40.7245453,-73.9943619
11654761604,clothes,40.6863282,-73.9905929
11655575127,childcare,40.7274461,-74.0762491
11656073991,chemist,40.7664473,-73.9571955
11657374225,restaurant,40.6250685,-73.9635876
11658123952,convenience,40.6383202,-73.9980355
11658242570,restaurant,40.6338842,-74.0047203
11658333426,restaurant,40.7191841,-73.9856983
11658333429,restaurant,40.7188406,-73.985309
11658333430,restaurant,40.7191673,-73.9856462
11658333432,clothes,40.7190647,-73.9852997
11658656805,restaurant,40.7408699,-73.9178593
11658786257,convenience,40.6970636,-73.9853236
11659815869,cafe,40.7109261,-74.0103462
11660279301,restaurant,40.7430058,-73.9538492
11660392215,restaurant,40.74232,-73.9525613
11660425877,restaurant,40.7422657,-73.9189992
11660428520,cafe,40.7424541,-73.9189728
11662423396,convenience,40.7873901,-73.974989
11663260254,supermarket,40.8076651,-74.0174457
11663319529,supermarket,40.7930816,-74.1442711
11663319552,hotel,40.8779281,-73.8714695
11663319555,hotel,40.9544757,-73.8487751
11663984987,cafe,40.7151445,-73.9931296
11664042689,restaurant,40.7906078,-73.9725454
11665449521,cafe,40.6723872,-73.9926894
11665465113,grocery,40.5963992,-73.9772669
11665558672,cafe,40.766576,-73.9573829
11665562923,restaurant,40.7670128,-73.958463
11667158864,supermarket,40.6263715,-74.1351018
11667208272,restaurant,40.6261367,-74.1348062
11667208273,restaurant,40.6260988,-74.134764
11667208277,butcher,40.6257522,-74.1349985
11667208286,clothes,40.6248089,-74.1359879
11667208291,convenience,40.6250242,-74.1356428
11667208296,cafe,40.6250304,-74.1353444
11667208298,restaurant,40.6253384,-74.135154
11667208306,childcare,40.6254016,-74.1350626
11667208310,restaurant,40.6258072,-74.1344423
11667208311,deli,40.6258383,-74.13439
11667208313,post office,40.6260923,-74.1338458
11667208316,convenience,40.6265245,-74.1334251
11667208329,cafe,40.6267024,-74.1320679
11667208330,convenience,40.6266968,-74.1320124
11667208331,restaurant,40.6266899,-74.1319435
11667208335,pharmacy,40.6266619,-74.1316646
11667208336,restaurant,40.6266554,-74.1316003
11667208337,restaurant,40.626648,-74.1315261
11667208339,pharmacy,40.626479,-74.1308818
11667208345,convenience,40.6260352,-74.1309619
11667208352,restaurant,40.626281,-74.1303865
11667208353,deli,40.6262717,-74.1303114
11667208355,restaurant,40.6262701,-74.130188
11667208356,restaurant,40.6264993,-74.1303447
11667208357,restaurant,40.6265059,-74.1302884
11667208361,bank,40.6263261,-74.1299054
11667208366,convenience,40.6261155,-74.1295522
11667208385,convenience,40.6268141,-74.1265185
11667208386,restaurant,40.6268431,-74.1262483
11667208416,restaurant,40.6290419,-74.1164059
11667208417,pharmacy,40.6290435,-74.1163383
11667208418,restaurant,40.6288161,-74.1159234
11667208422,restaurant,40.6292412,-74.1147201
11667208424,supermarket,40.6290194,-74.1144724
11667208436,deli,40.6295576,-74.1132189
11667208448,clothes,40.6295902,-74.1130551
11667208467,restaurant,40.6294876,-74.1115988
11667208469,bank,40.6295255,-74.111385
11667208474,clothes,40.6296263,-74.1109154
11667208482,bakery,40.6297016,-74.1104689
11667208489,restaurant,40.6297056,-74.109757
11669337013,clothes,40.6292997,-74.1142198
11669337092,bus,40.6291721,-74.1137504
11669337102,bus,40.6292966,-74.1137436
11669757257,chemist,40.7656771,-73.9655035
11669827678,convenience,40.542345,-74.1462345
11669827680,clothes,40.5422346,-74.1463548
11669827691,restaurant,40.5416385,-74.1468476
11669827709,pharmacy,40.5414329,-74.146197
11669827710,restaurant,40.541483,-74.146159
11669827716,clothes,40.542407,-74.1456662
11669827718,convenience,40.5425377,-74.1454348
11669827719,restaurant,40.5426205,-74.1454128
11671060142,restaurant,40.6773243,-73.8862606
11671515583,pharmacy,40.7180704,-73.9974503
11672957183,bus,40.5356816,-74.152168
11672957205,restaurant,40.537475,-74.1499435
11673390786,deli,40.6471914,-74.0808747
11674006308,restaurant,40.6372562,-74.0755274
11674325705,restaurant,40.7299776,-73.9995858
11674339847,restaurant,40.7568355,-73.9806333
11674339848,restaurant,40.7568615,-73.9806953
11674345070,restaurant,40.7202273,-73.998709
11674345072,cafe,40.7201134,-73.9988044
11677057839,convenience,40.685552,-73.9817254
11679064156,deli,40.7451572,-73.9216696
11679760934,restaurant,40.7227424,-73.9971339
11681803432,pharmacy,40.6801044,-73.8450022
11681803433,cafe,40.6799074,-73.8448941
11681803438,convenience,40.679979,-73.844926
11682804391,convenience,40.7447851,-73.9185118
11682998239,restaurant,40.7570172,-73.9671753
11683090929,restaurant,40.7075673,-73.8357078
11686006787,school,40.7475399,-74.0377815
11686570138,restaurant,40.7509119,-73.937035
11686669214,convenience,40.7921385,-73.9732778
11686756833,cafe,40.7860838,-73.9779625
11687176846,restaurant,40.7834563,-73.9795171
11687176847,cafe,40.7833931,-73.9794128
11687210350,restaurant,40.7840301,-73.9779134
11687215264,restaurant,40.7854066,-73.9769052
11687369985,restaurant,40.7866864,-73.9759752
11687385083,restaurant,40.7861403,-73.9763768
11687868832,restaurant,40.7432446,-73.9912163
11687884605,restaurant,40.6167056,-73.9854672
11687884606,restaurant,40.6166629,-73.9855128
11687992712,clothes,40.6036182,-73.9962956
11688257335,convenience,40.6981831,-73.9232006
11688261790,clothes,40.7022998,-73.9131423
11688960287,place of worship,40.7411024,-73.9174801
11688962919,restaurant,40.7414323,-73.9189124
11690216253,restaurant,40.7860073,-73.9760003
11692258625,post office,40.7996608,-73.9674304
11698533189,restaurant,40.7436126,-73.9200086
11698743541,bus,40.8296228,-74.0824254
11699016853,restaurant,40.8310963,-74.0853954
11699029338,restaurant,40.8309472,-74.0838947
11699068495,bus,40.8299659,-74.0835339
11701153875,restaurant,40.7443986,-73.9107588
11701396012,restaurant,40.764325,-73.9918269
11701396013,convenience,40.7645995,-73.9913697
11701475595,restaurant,40.7594129,-73.9618878
11701479466,convenience,40.7606999,-73.9614087
11701925248,convenience,40.7415485,-73.9179319
11704876920,cafe,40.7525798,-73.9744452
11705836568,restaurant,40.7656092,-73.9573801
11705913270,convenience,40.765558,-73.9574146
11706750747,restaurant,40.7656902,-73.9577457
11711712434,restaurant,40.7867661,-73.7261616
11712060130,restaurant,40.7177358,-73.958861
11712060131,clothes,40.7182176,-73.9596288
11712060133,clothes,40.7188437,-73.9606447
11714928281,restaurant,40.7283393,-73.9820432
11715036337,restaurant,40.7291209,-73.9836233
11715036338,convenience,40.7291538,-73.9837049
11715190679,restaurant,40.7662604,-73.9573285
11717083176,bakery,40.7630204,-73.9651778
11717083179,atm,40.7619437,-73.9660929
11717083180,clothes,40.7635091,-73.964872
11717083187,bakery,40.7619522,-73.9665505
11717251415,restaurant,40.7600534,-73.9727312
11717251420,school,40.75999,-73.9705353
11717251425,furniture,40.7604738,-73.9692801
11717251427,bank,40.7601865,-73.9721318
11717251431,cafe,40.7599242,-73.9700459
11717251434,clothes,40.7599773,-73.9700082
11717251435,restaurant,40.7602001,-73.9730757
11717261070,bakery,40.5388369,-74.2414014
11721695351,cafe,40.7154052,-73.9443717
11721695352,restaurant,40.7155164,-73.9443889
11721695353,restaurant,40.7155677,-73.9443952
11725197630,bakery,40.5370103,-74.2400959
11725496185,bus,40.6790296,-73.8634199
11725744791,cafe,40.7233442,-74.0065729
11725766040,cafe,40.7040496,-74.0076741
11725779437,cafe,40.7256642,-73.9989626
11727607792,bus,40.6768593,-73.8992236
11728018663,bakery,40.7719894,-73.9562657
11728696955,bus,40.5517405,-74.2120345
11729076512,bus,40.7247057,-73.7953888
11729076519,bus,40.7238599,-73.7978461
11729076521,convenience,40.7228493,-73.8000296
11729076524,bus,40.7229493,-73.7998633
11729195051,bus,40.7360516,-73.7446344
11729195305,school,40.7566386,-73.9652034
11729195307,restaurant,40.7565374,-73.9644183
11729195308,restaurant,40.7567113,-73.9643249
11729195309,bakery,40.7568962,-73.9641645
11729195310,pharmacy,40.7568344,-73.9637823
11729260577,convenience,40.7576592,-73.963167
11729260580,cafe,40.7580219,-73.9628824
